sampling_method,profile,aux_var,partitioning,budget,run_id,theta_hat,theta_true,failures_obs,execution_time
SRS,P0,PC,none,200,6,0.135,0.1116504854368931,27,0.0001862910576164
SRS,P0,PC,none,200,7,0.105,0.1116504854368931,21,0.0001877080649137
SRS,P0,PC,none,200,8,0.14,0.1116504854368931,28,0.000179458875209
SRS,P0,PC,none,200,9,0.125,0.1116504854368931,25,0.000181958079338
SRS,P0,PC,none,200,10,0.09,0.1116504854368931,18,0.0001774998381733
SRS,P0,PC,none,200,11,0.105,0.1116504854368931,21,0.0001828749664127
SRS,P0,PC,none,200,12,0.115,0.1116504854368931,23,0.0001775827258825
SRS,P0,PC,none,200,13,0.105,0.1116504854368931,21,0.0001746253110468
SRS,P0,PC,none,200,14,0.115,0.1116504854368931,23,0.0001798328012228
SRS,P0,PC,none,200,15,0.1,0.1116504854368931,20,0.0001847501844167
SRS,P0,PC,none,200,16,0.115,0.1116504854368931,23,0.0002051666378974
SRS,P0,PC,none,200,17,0.1,0.1116504854368931,20,0.0001835408620536
SRS,P0,PC,none,200,18,0.135,0.1116504854368931,27,0.0001803329214453
SRS,P0,PC,none,200,19,0.09,0.1116504854368931,18,0.0001817080192267
SRS,P0,PC,none,200,20,0.105,0.1116504854368931,21,0.0001728339120745
SRS,P0,PC,none,200,21,0.11,0.1116504854368931,22,0.000179334077984
SRS,P0,PC,none,200,22,0.135,0.1116504854368931,27,0.000179124996066
SRS,P0,PC,none,200,23,0.12,0.1116504854368931,24,0.0001822081394493
SRS,P0,PC,none,200,24,0.11,0.1116504854368931,22,0.0001721661537885
SRS,P0,PC,none,200,25,0.11,0.1116504854368931,22,0.0001814998686313
SRS,P0,PC,none,200,26,0.12,0.1116504854368931,24,0.0001789173111319
SRS,P0,PC,none,200,27,0.115,0.1116504854368931,23,0.0002155830152332
SRS,P0,PC,none,200,28,0.105,0.1116504854368931,21,0.0001797908917069
SRS,P0,PC,none,200,29,0.13,0.1116504854368931,26,0.000181833282113
SRS,P0,PC,none,200,30,0.125,0.1116504854368931,25,0.0001787077635526
SRS,P0,PC,none,300,1,0.0833333333333333,0.1116504854368931,25,0.0002012075856328
SRS,P0,PC,none,300,2,0.1366666666666666,0.1116504854368931,41,0.0001946249976754
SRS,P0,PC,none,300,3,0.13,0.1116504854368931,39,0.0001952499151229
SRS,P0,PC,none,300,4,0.1166666666666666,0.1116504854368931,35,0.0001900000497698
SRS,P0,PC,none,300,5,0.1133333333333333,0.1116504854368931,34,0.0002289582043886
SRS,P0,PC,none,300,6,0.13,0.1116504854368931,39,0.0005487496964633
SRS,P0,PC,none,300,7,0.1266666666666666,0.1116504854368931,38,0.0002991249784827
SRS,P0,PC,none,300,8,0.0733333333333333,0.1116504854368931,22,0.0002854168415069
SRS,P0,PC,none,300,9,0.14,0.1116504854368931,42,0.0002767089754343
SRS,P0,PC,none,300,10,0.15,0.1116504854368931,45,0.0003502913750708
SRS,P0,PC,none,300,11,0.1033333333333333,0.1116504854368931,31,0.0002680830657482
SRS,P0,PC,none,300,12,0.13,0.1116504854368931,39,0.0002172496169805
SRS,P0,PC,none,300,13,0.1166666666666666,0.1116504854368931,35,0.0001928331330418
SRS,P0,PC,none,300,14,0.1,0.1116504854368931,30,0.0002069999463856
SRS,P0,PC,none,300,15,0.1333333333333333,0.1116504854368931,40,0.000211542006582
SRS,P0,PC,none,300,16,0.1066666666666666,0.1116504854368931,32,0.0001939577050507
SRS,P0,PC,none,300,17,0.11,0.1116504854368931,33,0.000189000274986
SRS,P0,PC,none,300,18,0.08,0.1116504854368931,24,0.000199457630515
SRS,P0,PC,none,300,19,0.12,0.1116504854368931,36,0.0001860833726823
SRS,P0,PC,none,300,20,0.1033333333333333,0.1116504854368931,31,0.0001883329823613
SRS,P0,PC,none,300,21,0.14,0.1116504854368931,42,0.000184082891792
SRS,P0,PC,none,300,22,0.1033333333333333,0.1116504854368931,31,0.0001888331025838
SRS,P0,PC,none,300,23,0.0966666666666666,0.1116504854368931,29,0.0001869578845798
SRS,P0,PC,none,300,24,0.1033333333333333,0.1116504854368931,31,0.0001823753118515
SRS,P0,PC,none,300,25,0.13,0.1116504854368931,39,0.0001865825615823
SRS,P0,PC,none,300,26,0.1,0.1116504854368931,30,0.0001942920498549
SRS,P0,PC,none,300,27,0.11,0.1116504854368931,33,0.000243583228439
SRS,P0,PC,none,300,28,0.1,0.1116504854368931,30,0.0002053752541542
SRS,P0,PC,none,300,29,0.14,0.1116504854368931,42,0.0001939171925187
SRS,P0,PC,none,300,30,0.12,0.1116504854368931,36,0.0001958329230546
SRS,P0,PC,none,400,1,0.1225,0.1116504854368931,49,0.0002059582620859
SRS,P0,PC,none,400,2,0.1125,0.1116504854368931,45,0.0001942920498549
