method,profile,aux_var,partitioning,budget,run,theta_hat,theta_true,failures_obs,execution_time
SRS,P0,None,none,50,9,0.08,0.11165048543689318,4,0.0009210109710693359
SRS,P0,None,none,50,10,0.06,0.11165048543689318,3,0.0008876323699951172
SRS,P0,None,none,50,11,0.06,0.11165048543689318,3,0.0008585453033447266
SRS,P0,None,none,50,12,0.1,0.11165048543689318,5,0.000888824462890625
SRS,P0,None,none,50,13,0.08,0.11165048543689318,4,0.0010581016540527344
SRS,P0,None,none,50,14,0.08,0.11165048543689318,4,0.0008475780487060547
SRS,P0,None,none,50,15,0.08,0.11165048543689318,4,0.0010135173797607422
SRS,P0,None,none,50,16,0.06,0.11165048543689318,3,0.001058340072631836
SRS,P0,None,none,50,17,0.06,0.11165048543689318,3,0.0011572837829589844
SRS,P0,None,none,50,18,0.1,0.11165048543689318,5,0.0009829998016357422
SRS,P0,None,none,50,19,0.18,0.11165048543689318,9,0.0010192394256591797
SRS,P0,None,none,50,20,0.04,0.11165048543689318,2,0.0011355876922607422
SRS,P0,None,none,50,21,0.16,0.11165048543689318,8,0.0009202957153320312
SRS,P0,None,none,50,22,0.06,0.11165048543689318,3,0.0009021759033203125
SRS,P0,None,none,50,23,0.06,0.11165048543689318,3,0.0008678436279296875
SRS,P0,None,none,50,24,0.06,0.11165048543689318,3,0.0007059574127197266
SRS,P0,None,none,50,25,0.08,0.11165048543689318,4,0.0006835460662841797
SRS,P0,None,none,50,26,0.14,0.11165048543689318,7,0.0008440017700195312
SRS,P0,None,none,50,27,0.06,0.11165048543689318,3,0.0010857582092285156
SRS,P0,None,none,50,28,0.12,0.11165048543689318,6,0.0008637905120849609
SRS,P0,None,none,50,29,0.08,0.11165048543689318,4,0.0008726119995117188
SRS,P0,None,none,50,30,0.08,0.11165048543689318,4,0.0007543563842773438
SRS,P0,None,none,100,1,0.14,0.11165048543689318,14,0.0008656978607177734
SRS,P0,None,none,100,2,0.1,0.11165048543689318,10,0.0006673336029052734
SRS,P0,None,none,100,3,0.11,0.11165048543689318,11,0.0008549690246582031
SRS,P0,None,none,100,4,0.14,0.11165048543689318,14,0.0009160041809082031
SRS,P0,None,none,100,5,0.09,0.11165048543689318,9,0.0009102821350097656
SRS,P0,None,none,100,6,0.12,0.11165048543689318,12,0.0008947849273681641
SRS,P0,None,none,100,7,0.11,0.11165048543689318,11,0.0010077953338623047
SRS,P0,None,none,100,8,0.11,0.11165048543689318,11,0.0008101463317871094
SRS,P0,None,none,100,9,0.11,0.11165048543689318,11,0.0008158683776855469
SRS,P0,None,none,100,10,0.13,0.11165048543689318,13,0.0010330677032470703
SRS,P0,None,none,100,11,0.05,0.11165048543689318,5,0.0008919239044189453
SRS,P0,None,none,100,12,0.08,0.11165048543689318,8,0.0008733272552490234
SRS,P0,None,none,100,13,0.13,0.11165048543689318,13,0.0010068416595458984
SRS,P0,None,none,100,14,0.11,0.11165048543689318,11,0.0011332035064697266
SRS,P0,None,none,100,15,0.1,0.11165048543689318,10,0.0008819103240966797
SRS,P0,None,none,100,16,0.1,0.11165048543689318,10,0.001140594482421875
SRS,P0,None,none,100,17,0.12,0.11165048543689318,12,0.0007293224334716797
SRS,P0,None,none,100,18,0.11,0.11165048543689318,11,0.0011522769927978516
SRS,P0,None,none,100,19,0.15,0.11165048543689318,15,0.0011391639709472656
SRS,P0,None,none,100,20,0.07,0.11165048543689318,7,0.0009624958038330078
SRS,P0,None,none,100,21,0.13,0.11165048543689318,13,0.0006315708160400391
SRS,P0,None,none,100,22,0.08,0.11165048543689318,8,0.0010025501251220703
SRS,P0,None,none,100,23,0.1,0.11165048543689318,10,0.0009002685546875
SRS,P0,None,none,100,24,0.11,0.11165048543689318,11,0.0009081363677978516
SRS,P0,None,none,100,25,0.09,0.11165048543689318,9,0.0009021759033203125
